Date of death,# killed
2012-03-30,46
2012-03-31,45
2012-04-01,49
2012-04-02,37
2012-04-03,57
2012-04-04,86
2012-04-05,66
2012-04-06,54
2012-04-07,116
2012-04-08,69
2012-04-09,122
2012-04-10,92
2012-04-11,61
2012-04-12,15
2012-04-13,15
2012-04-14,26
2012-04-15,25
2012-04-16,30
2012-04-17,39
2012-04-18,49
2012-04-19,22
2012-04-20,41
2012-04-21,47
2012-04-22,41
2012-04-23,63
2012-04-24,31
2012-04-25,55
2012-04-26,31
2012-04-27,21
2012-04-28,28
2012-04-29,22
2012-04-30,12
2012-05-01,41
2012-05-02,20
2012-05-03,17
2012-05-04,85
2012-05-05,18
2012-05-06,10
2012-05-07,25
2012-05-08,19
2012-05-09,17
2012-05-10,54
2012-05-11,13
2012-05-12,15
2012-05-13,35
2012-05-14,22
2012-05-15,78
2012-05-16,21
2012-05-17,29
2012-05-18,22
2012-05-19,22
2012-05-20,55
2012-05-21,23
2012-05-22,19
2012-05-23,13
2012-05-24,28
2012-05-25,138
2012-05-26,29
2012-05-27,58
2012-05-28,32
2012-05-29,60
2012-05-30,28
2012-05-31,50
2012-06-01,40
2012-06-02,31
2012-06-03,27
2012-06-04,28
2012-06-05,31
2012-06-06,103
2012-06-07,32
2012-06-08,35
2012-06-09,73
2012-06-10,53
2012-06-11,83
2012-06-12,59
2012-06-13,67
2012-06-14,55
2012-06-15,46
2012-06-16,64
2012-06-17,51
2012-06-18,52
2012-06-19,45
2012-06-20,39
2012-06-21,101
2012-06-22,69
2012-06-23,55
2012-06-24,62
2012-06-25,69
2012-06-26,103
2012-06-27,100
2012-06-28,123
2012-06-29,48
2012-06-30,144
2012-07-01,71
2012-07-02,57
2012-07-03,70
2012-07-04,88
2012-07-05,73
2012-07-06,81
2012-07-07,54
2012-07-08,49
2012-07-09,56
2012-07-10,47
2012-07-11,47
2012-07-12,122
2012-07-13,76
2012-07-14,59
2012-07-15,68
2012-07-16,89
2012-07-17,76
2012-07-18,296
2012-07-19,200
2012-07-20,217
2012-07-21,124
2012-07-22,112
2012-07-23,135
2012-07-24,185
2012-07-25,98
2012-07-26,153
2012-07-27,124
2012-07-28,173
2012-07-29,155
2012-07-30,75
2012-07-31,65
2012-08-01,148
2012-08-02,153
2012-08-03,103
2012-08-04,170
2012-08-05,111
2012-08-06,202
2012-08-07,139
2012-08-08,161
2012-08-09,145
2012-08-10,137
2012-08-11,120
2012-08-12,122
2012-08-13,112
2012-08-14,98
2012-08-15,182
2012-08-16,168
2012-08-17,148
2012-08-18,130
2012-08-19,115
2012-08-20,177
2012-08-21,184
2012-08-22,191
2012-08-23,188
2012-08-24,221
2012-08-25,449
2012-08-26,221
2012-08-27,216
2012-08-28,124
2012-08-29,131
2012-08-30,131
2012-08-31,85
2012-09-01,181
2012-09-02,135
2012-09-03,180
2012-09-04,124
2012-09-05,188
2012-09-06,109
2012-09-07,90
2012-09-08,125
2012-09-09,125
2012-09-10,157
2012-09-11,145
2012-09-12,159
2012-09-13,156
2012-09-14,136
2012-09-15,168
2012-09-16,151
2012-09-17,96
2012-09-18,147
2012-09-19,126
2012-09-20,216
2012-09-21,95
2012-09-22,167
2012-09-23,76
2012-09-24,106
2012-09-25,158
2012-09-26,271
2012-09-27,141
2012-09-28,162
2012-09-29,126
2012-09-30,144
2012-10-01,149
2012-10-02,147
2012-10-03,169
2012-10-04,85
2012-10-05,90
2012-10-06,70
2012-10-07,120
2012-10-08,173
2012-10-09,141
2012-10-10,160
2012-10-11,155
2012-10-12,87
2012-10-13,104
2012-10-14,71
2012-10-15,102
2012-10-16,109
2012-10-17,133
2012-10-18,192
2012-10-19,109
2012-10-20,118
2012-10-21,89
2012-10-22,110
2012-10-23,147
2012-10-24,126
2012-10-25,90
2012-10-26,91
2012-10-27,68
2012-10-28,125
2012-10-29,84
2012-10-30,139
2012-10-31,116
2012-11-01,125
2012-11-02,113
2012-11-03,141
2012-11-04,173
2012-11-05,149
2012-11-06,132
2012-11-07,149
2012-11-08,95
2012-11-09,120
2012-11-10,75
2012-11-11,51
2012-11-12,121
2012-11-13,137
2012-11-14,69
2012-11-15,89
2012-11-16,74
2012-11-17,89
2012-11-18,45
2012-11-19,122
2012-11-20,78
2012-11-21,72
2012-11-22,82
2012-11-23,61
2012-11-24,52
2012-11-25,116
2012-11-26,80
2012-11-27,107
2012-11-28,114
2012-11-29,84
2012-11-30,121
2012-12-01,147
2012-12-02,165
2012-12-03,180
2012-12-04,93
2012-12-05,65
2012-12-06,40
2012-12-07,61
2012-12-08,75
2012-12-09,75
2012-12-10,113
2012-12-11,101
2012-12-12,89
2012-12-13,113
2012-12-14,62
2012-12-15,84
2012-12-16,153
2012-12-17,102
2012-12-18,95
2012-12-19,132
2012-12-20,102
2012-12-21,82
2012-12-22,104
2012-12-23,169
2012-12-24,125
2012-12-25,152
2012-12-26,81
2012-12-27,93
2012-12-28,105
2012-12-29,136
2012-12-30,130
2012-12-31,101
2013-01-01,66
2013-01-02,162
2013-01-03,147
2013-01-04,77
2013-01-05,70
2013-01-06,94
2013-01-07,58
2013-01-08,107
2013-01-09,60
2013-01-10,27
2013-01-11,46
2013-01-12,105
2013-01-13,122
2013-01-14,118
2013-01-15,256
2013-01-16,133
2013-01-17,115
2013-01-18,177
2013-01-19,61
2013-01-20,104
2013-01-21,102
2013-01-22,92
2013-01-23,80
2013-01-24,66
2013-01-25,87
2013-01-26,85
2013-01-27,68
2013-01-28,88
2013-01-29,153
2013-01-30,82
2013-01-31,93
2013-02-01,67
2013-02-02,88
2013-02-03,91
2013-02-04,93
2013-02-05,59
2013-02-06,211
2013-02-07,98
2013-02-08,84
2013-02-09,119
2013-02-10,69
2013-02-11,75
2013-02-12,63
2013-02-13,119
2013-02-14,59
2013-02-15,61
2013-02-16,81
2013-02-17,60
2013-02-18,96
2013-02-19,96
2013-02-20,138
2013-02-21,207
2013-02-22,200
2013-02-23,53
2013-02-24,75
2013-02-25,85
2013-02-26,91
2013-02-27,162
2013-02-28,74
2013-03-01,83
2013-03-02,72
2013-03-03,87
2013-03-04,64
2013-03-05,86
2013-03-06,105
2013-03-07,55
2013-03-08,49
2013-03-09,88
2013-03-10,100
2013-03-11,72
2013-03-12,53
2013-03-13,79
2013-03-14,116
2013-03-15,118
2013-03-16,95
2013-03-17,66
2013-03-18,146
2013-03-19,117
2013-03-20,114
2013-03-21,147
2013-03-22,44
2013-03-23,42
2013-03-24,122
2013-03-25,83
2013-03-26,97
2013-03-27,102
2013-03-28,103
2013-03-29,126
2013-03-30,63
2013-03-31,92
2013-04-01,96
2013-04-02,76
2013-04-03,99
2013-04-04,72
2013-04-05,56
2013-04-06,89
2013-04-07,86
2013-04-08,64
2013-04-09,71
2013-04-10,111
2013-04-11,56
2013-04-12,51
2013-04-13,78
2013-04-14,88
2013-04-15,55
2013-04-16,92
2013-04-17,85
2013-04-18,57
2013-04-19,116
2013-04-20,46
2013-04-21,98
2013-04-22,91
2013-04-23,98
2013-04-24,80
2013-04-25,83
2013-04-26,74
2013-04-27,95
2013-04-28,50
2013-04-29,69
2013-04-30,106
2013-05-01,56
2013-05-02,153
2013-05-03,75
2013-05-04,149
2013-05-05,61
2013-05-06,69
2013-05-07,52
2013-05-08,40
2013-05-09,38
2013-05-10,64
2013-05-11,41
2013-05-12,53
2013-05-13,40
2013-05-14,52
2013-05-15,71
2013-05-16,47
2013-05-17,83
2013-05-18,69
2013-05-19,83
2013-05-20,68
2013-05-21,39
2013-05-22,80
2013-05-23,42
2013-05-24,51
2013-05-25,53
2013-05-26,54
2013-05-27,56
2013-05-28,40
2013-05-29,71
2013-05-30,44
2013-05-31,126
2013-06-01,51
2013-06-02,50
2013-06-03,64
2013-06-04,42
2013-06-05,36
2013-06-06,62
2013-06-07,53
2013-06-08,53
2013-06-09,99
2013-06-10,43
2013-06-11,62
2013-06-12,56
2013-06-13,51
2013-06-14,34
2013-06-15,31
2013-06-16,58
2013-06-17,59
2013-06-18,40
2013-06-19,33
2013-06-20,71
2013-06-21,57
2013-06-22,302
2013-06-23,53
2013-06-24,54
2013-06-25,41
2013-06-26,50
2013-06-27,77
2013-06-28,37
2013-06-29,52
2013-06-30,30
2013-07-01,34
2013-07-02,51
2013-07-03,56
2013-07-04,49
2013-07-05,51
2013-07-06,20
2013-07-07,35
2013-07-08,36
2013-07-09,44
2013-07-10,36
2013-07-11,32
2013-07-12,39
2013-07-13,55
2013-07-14,80
2013-07-15,71
2013-07-16,47
2013-07-17,68
2013-07-18,84
2013-07-19,30
2013-07-20,39
2013-07-21,87
2013-07-22,71
2013-07-23,102
2013-07-24,78
2013-07-25,50
2013-07-26,105
2013-07-27,66
2013-07-28,58
2013-07-29,72
2013-07-30,108
2013-07-31,67
2013-08-01,102
2013-08-02,55
2013-08-03,62
2013-08-04,55
2013-08-05,61
2013-08-06,88
2013-08-07,30
2013-08-08,62
2013-08-09,47
2013-08-10,78
2013-08-11,76
2013-08-12,23
2013-08-13,53
2013-08-14,41
2013-08-15,41
2013-08-16,109
2013-08-17,34
2013-08-18,45
2013-08-19,45
2013-08-20,38
2013-08-21,962
2013-08-22,74
2013-08-23,54
2013-08-24,70
2013-08-25,86
2013-08-26,105
2013-08-27,44
2013-08-28,35
2013-08-29,49
2013-08-30,44
2013-08-31,36
2013-09-01,88
2013-09-02,40
2013-09-03,51
2013-09-04,48
2013-09-05,64
2013-09-06,32
2013-09-07,44
2013-09-08,44
2013-09-09,49
2013-09-10,28
2013-09-11,43
2013-09-12,38
2013-09-13,46
2013-09-14,63
2013-09-15,45
2013-09-16,46
2013-09-17,53
2013-09-18,57
2013-09-19,51
2013-09-20,50
2013-09-21,50
2013-09-22,49
2013-09-23,39
2013-09-24,27
2013-09-25,43
2013-09-26,41
2013-09-27,97
2013-09-28,41
2013-09-29,40
2013-09-30,21
2013-10-01,42
2013-10-02,42
2013-10-03,38
2013-10-04,39
2013-10-05,34
2013-10-06,74
2013-10-07,62
2013-10-08,61
2013-10-09,82
2013-10-10,78
2013-10-11,72
2013-10-12,78
2013-10-13,57
2013-10-14,91
2013-10-15,58
2013-10-16,29
2013-10-17,52
2013-10-18,19
2013-10-19,29
2013-10-20,44
2013-10-21,46
2013-10-22,39
2013-10-23,63
2013-10-24,28
2013-10-25,202
2013-10-26,36
2013-10-27,30
2013-10-28,33
2013-10-29,39
2013-10-30,44
2013-10-31,48
2013-11-01,58
2013-11-02,38
2013-11-03,23
2013-11-04,59
2013-11-05,27
2013-11-06,35
2013-11-07,36
2013-11-08,30
2013-11-09,40
2013-11-10,29
2013-11-11,51
2013-11-12,51
2013-11-13,34
2013-11-14,67
2013-11-15,59
2013-11-16,46
2013-11-17,22
2013-11-18,58
2013-11-19,31
2013-11-20,36
2013-11-21,43
2013-11-22,57
2013-11-23,107
2013-11-24,54
2013-11-25,41
2013-11-26,51
2013-11-27,45
2013-11-28,91
2013-11-29,50
2013-11-30,105
2013-12-01,92
2013-12-02,48
2013-12-03,17
2013-12-04,30
2013-12-05,29
2013-12-06,117
2013-12-07,105
2013-12-08,88
2013-12-09,80
2013-12-10,83
2013-12-11,33
2013-12-12,46
2013-12-13,41
2013-12-14,56
2013-12-15,161
2013-12-16,57
2013-12-17,167
2013-12-18,96
2013-12-19,92
2013-12-20,50
2013-12-21,107
2013-12-22,153
2013-12-23,118
2013-12-24,89
2013-12-25,31
2013-12-26,59
2013-12-27,39
2013-12-28,105
2013-12-29,47
2013-12-30,24
2013-12-31,75
2014-01-01,78
2014-01-02,35
2014-01-03,46
2014-01-04,22
2014-01-05,31
2014-01-06,89
2014-01-07,123
2014-01-08,93
2014-01-09,67
2014-01-10,25
2014-01-11,89
2014-01-12,102
2014-01-13,39
2014-01-14,34
2014-01-15,36
2014-01-16,46
2014-01-17,78
2014-01-18,126
2014-01-19,96
2014-01-20,71
2014-01-21,56
2014-01-22,59
2014-01-23,69
2014-01-24,47
2014-01-25,56
2014-01-26,52
2014-01-27,47
2014-01-28,95
2014-01-29,57
2014-01-30,84
2014-01-31,75
2014-02-01,142
2014-02-02,127
2014-02-03,87
2014-02-04,62
2014-02-05,46
2014-02-06,80
2014-02-07,68
2014-02-08,171
2014-02-09,161
2014-02-10,85
2014-02-11,112
2014-02-12,104
2014-02-13,52
2014-02-14,155
2014-02-15,61
2014-02-16,50
2014-02-17,45
2014-02-18,72
2014-02-19,60
2014-02-20,89
2014-02-21,71
2014-02-22,46
2014-02-23,100
2014-02-24,49
2014-02-25,71
2014-02-26,34
2014-02-27,35
2014-02-28,32
2014-03-01,76
2014-03-02,28
2014-03-03,45
2014-03-04,15
2014-03-05,33
2014-03-06,44
2014-03-07,75
2014-03-08,72
2014-03-09,40
2014-03-10,16
2014-03-11,65
2014-03-12,35
2014-03-13,17
2014-03-14,21
2014-03-15,95
2014-03-16,59
2014-03-17,49
2014-03-18,64
2014-03-19,46
2014-03-20,89
2014-03-21,45
2014-03-22,33
2014-03-23,50
2014-03-24,49
2014-03-25,45
2014-03-26,43
2014-03-27,51
2014-03-28,24
2014-03-29,30
2014-03-30,33
2014-03-31,60
2014-04-01,80
2014-04-02,61
2014-04-03,41
2014-04-04,62
2014-04-05,57
2014-04-06,64
2014-04-07,25
2014-04-08,24
2014-04-09,38
2014-04-10,69
2014-04-11,37
2014-04-12,40
2014-04-13,64
2014-04-14,53
2014-04-15,31
2014-04-16,25
2014-04-17,31
2014-04-18,58
2014-04-19,30
2014-04-20,142
2014-04-21,37
2014-04-22,30
2014-04-23,39
2014-04-24,77
2014-04-25,24
2014-04-26,65
2014-04-27,84
2014-04-28,74
2014-04-29,59
2014-04-30,61
2014-05-01,101
2014-05-02,44
2014-05-03,35
2014-05-04,43
2014-05-05,55
2014-05-06,40
2014-05-07,34
2014-05-08,40
2014-05-09,45
2014-05-10,45
2014-05-11,61
2014-05-12,34
2014-05-13,33
2014-05-14,106
2014-05-15,96
2014-05-16,98
2014-05-17,39
2014-05-18,45
2014-05-19,24
2014-05-20,68
2014-05-21,34
2014-05-22,40
2014-05-23,28
2014-05-24,28
2014-05-25,26
2014-05-26,50
2014-05-27,51
2014-05-28,69
2014-05-29,44
2014-05-30,77
2014-05-31,25
2014-06-01,38
2014-06-02,42
2014-06-03,83
2014-06-04,39
2014-06-05,30
2014-06-06,41
2014-06-07,62
2014-06-08,46
2014-06-09,38
2014-06-10,47
2014-06-11,38
2014-06-12,25
2014-06-13,55
2014-06-14,71
2014-06-15,39
2014-06-16,143
2014-06-17,53
2014-06-18,54
2014-06-19,35
2014-06-20,28
2014-06-21,63
2014-06-22,37
2014-06-23,37
2014-06-24,29
2014-06-25,83
2014-06-26,56
2014-06-27,26
2014-06-28,42
2014-06-29,73
2014-06-30,20
2014-07-01,62
2014-07-02,27
2014-07-03,25
2014-07-04,33
2014-07-05,31
2014-07-06,34
2014-07-07,17
2014-07-08,39
2014-07-09,37
2014-07-10,27
2014-07-11,40
2014-07-12,25
2014-07-13,31
2014-07-14,25
2014-07-15,41
2014-07-16,60
2014-07-17,30
2014-07-18,33
2014-07-19,42
2014-07-20,52
2014-07-21,42
2014-07-22,63
2014-07-23,33
2014-07-24,43
2014-07-25,17
2014-07-26,44
2014-07-27,42
2014-07-28,31
2014-07-29,28
2014-07-30,63
2014-07-31,34
2014-08-01,52
2014-08-02,95
2014-08-03,66
2014-08-04,46
2014-08-05,36
2014-08-06,23
2014-08-07,29
2014-08-08,9
2014-08-09,50
2014-08-10,42
2014-08-11,55
2014-08-12,32
2014-08-13,56
2014-08-14,150
2014-08-15,56
2014-08-16,32
2014-08-17,24
2014-08-18,46
2014-08-19,32
2014-08-20,35
2014-08-21,40
2014-08-22,28
2014-08-23,21
2014-08-24,40
2014-08-25,46
2014-08-26,46
2014-08-27,32
2014-08-28,62
2014-08-29,62
2014-08-30,51
2014-08-31,95
2014-09-01,34
2014-09-02,38
2014-09-03,31
2014-09-04,22
2014-09-05,43
2014-09-06,115
2014-09-07,40
2014-09-08,31
2014-09-09,59
2014-09-10,42
2014-09-11,79
2014-09-12,74
2014-09-13,29
2014-09-14,45
2014-09-15,73
2014-09-16,92
2014-09-17,70
2014-09-18,85
2014-09-19,37
2014-09-20,39
2014-09-21,74
2014-09-22,35
2014-09-23,35
2014-09-24,32
2014-09-25,16
2014-09-26,28
2014-09-27,20
2014-09-28,22
2014-09-29,16
2014-09-30,18
2014-10-01,56
2014-10-02,23
2014-10-03,44
2014-10-04,20
2014-10-05,40
2014-10-06,26
2014-10-07,8
2014-10-08,21
2014-10-09,42
2014-10-10,46
2014-10-11,8
2014-10-12,17
2014-10-13,27
2014-10-14,44
2014-10-15,27
2014-10-16,37
2014-10-17,51
2014-10-18,15
2014-10-19,25
2014-10-20,17
2014-10-21,58
2014-10-22,13
2014-10-23,45
2014-10-24,24
2014-10-25,61
2014-10-26,44
2014-10-27,35
2014-10-28,21
2014-10-29,20
2014-10-30,73
2014-10-31,18
2014-11-01,23
2014-11-02,67
2014-11-03,11
2014-11-04,27
2014-11-05,38
2014-11-06,43
2014-11-07,39
2014-11-08,26
2014-11-09,53
2014-11-10,40
2014-11-11,59
2014-11-12,27
2014-11-13,34
2014-11-14,29
2014-11-15,10
2014-11-16,22
2014-11-17,29
2014-11-18,52
2014-11-19,23
2014-11-20,23
2014-11-21,23
2014-11-22,17
2014-11-23,15
2014-11-24,16
2014-11-25,87
2014-11-26,12
2014-11-27,32
2014-11-28,29
2014-11-29,12
2014-11-30,60
2014-12-01,89
2014-12-02,14
2014-12-03,8
2014-12-04,20
2014-12-05,20
2014-12-06,13
2014-12-07,20
2014-12-08,29
2014-12-09,19
2014-12-10,25
2014-12-11,27
2014-12-12,14
2014-12-13,13
2014-12-14,18
2014-12-15,27
2014-12-16,99
2014-12-17,21
2014-12-18,20
2014-12-19,10
2014-12-20,33
2014-12-21,32
2014-12-22,21
2014-12-23,50
2014-12-24,39
2014-12-25,69
2014-12-26,33
2014-12-27,46
2014-12-28,126
2014-12-29,18
2014-12-30,23
2014-12-31,35
2015-01-01,10
2015-01-02,12
2015-01-03,8
2015-01-04,11
2015-01-05,8
2015-01-06,9
2015-01-07,5
2015-01-08,9
2015-01-09,8
2015-01-10,35
2015-01-11,14
2015-01-12,14
2015-01-13,12
2015-01-14,42
2015-01-15,23
2015-01-16,14
2015-01-17,7
2015-01-18,25
2015-01-19,34
2015-01-20,71
2015-01-21,45
2015-01-22,35
2015-01-23,83
2015-01-24,29
2015-01-25,24
2015-01-26,39
2015-01-27,21
2015-01-28,33
2015-01-29,30
2015-01-30,14
2015-01-31,29
2015-02-01,19
2015-02-02,57
2015-02-03,20
2015-02-04,23
2015-02-05,102
2015-02-06,58
2015-02-07,33
2015-02-08,17
2015-02-09,54
2015-02-10,16
2015-02-11,10
2015-02-12,4
2015-02-13,16
2015-02-14,8
2015-02-15,32
2015-02-16,12
2015-02-17,71
2015-02-18,14
2015-02-19,7
2015-02-20,5
2015-02-21,42
2015-02-22,31
2015-02-23,32
2015-02-24,19
2015-02-25,26
2015-02-26,24
2015-02-27,32
2015-02-28,18
2015-03-01,17
2015-03-02,21
2015-03-03,22
2015-03-04,15
2015-03-05,64
2015-03-06,44
2015-03-07,34
2015-03-08,47
2015-03-09,61
2015-03-10,56
2015-03-11,39
2015-03-12,29
2015-03-13,38
2015-03-14,97
2015-03-15,69
2015-03-16,49
2015-03-17,77
2015-03-18,23
2015-03-19,32
2015-03-20,117
2015-03-21,24
2015-03-22,38
2015-03-23,36
2015-03-24,97
2015-03-25,24
2015-03-26,68
2015-03-27,36
2015-03-28,17
2015-03-29,23
2015-03-30,70
2015-03-31,28
2015-04-01,35
2015-04-02,52
2015-04-03,24
2015-04-04,42
2015-04-05,67
2015-04-06,49
2015-04-07,47
2015-04-08,16
2015-04-09,11
2015-04-10,17
2015-04-11,48
2015-04-12,30
2015-04-13,59
2015-04-14,55
2015-04-15,36
2015-04-16,28
2015-04-17,35
2015-04-18,32
2015-04-19,31
2015-04-20,14
2015-04-21,19
2015-04-22,54
2015-04-23,4
2015-04-24,31
2015-04-25,41
2015-04-26,82
2015-04-27,51
2015-04-28,32
2015-04-29,55
2015-04-30,28
2015-05-01,100
2015-05-02,35
2015-05-03,34
2015-05-04,35
2015-05-05,31
2015-05-06,13
2015-05-07,19
2015-05-08,20
2015-05-09,24
2015-05-10,12
2015-05-11,25
2015-05-12,65
2015-05-13,53
2015-05-14,25
2015-05-15,38
2015-05-16,75
2015-05-17,25
2015-05-18,8
2015-05-19,53
2015-05-20,53
2015-05-21,31
2015-05-22,27
2015-05-23,29
2015-05-24,64
2015-05-25,43
2015-05-26,31
2015-05-27,20
2015-05-28,8
2015-05-29,16
2015-05-30,155
2015-05-31,35
2015-06-01,28
2015-06-02,11
2015-06-03,56
2015-06-04,74
2015-06-05,11
2015-06-06,35
2015-06-07,48
2015-06-08,70
2015-06-09,21
2015-06-10,46
2015-06-11,35
2015-06-12,22
2015-06-13,5
2015-06-14,30
2015-06-15,13
2015-06-16,64
2015-06-17,19
2015-06-18,9
2015-06-19,22
2015-06-20,15
2015-06-21,15
2015-06-22,32
2015-06-23,42
2015-06-24,28
2015-06-25,305
2015-06-26,24
2015-06-27,33
2015-06-28,32
2015-06-29,29
2015-06-30,61
2015-07-01,43
2015-07-02,25
2015-07-03,21
2015-07-04,26
2015-07-05,55
2015-07-06,11
2015-07-07,32
2015-07-08,19
2015-07-09,35
2015-07-10,40
2015-07-11,15
